Abreviações,Substituíções
abertu,aberto
abotuada,abotoada
abrindu,abrindo
abutua,abotoa
abutuá,abotoar
abutuando,abotoando
abutuô,abotoou
acabá,acabar
achô,achou
achu,acho
aconteci,acontece
acrediiito,acredito
adc,adiciona
add,adicionar
agó,agora
agóa,agora
agóá,agora
agóla,agora
agr,agora
agt,a gente
alcançu,alcanço
alfinête,alfinete
alfineti,alfinete
alfinêti,alfinete
almoçá,almoçar
andá,andar
aniver,aniversário
anon,anônimo
aondi,aonde
app,aplicativo
aq,aqui
áqui,aqui
aquisi,aqui
ascendo,acendo
assi,assim
ateh,até
balançá,balançar
balançandu,balançando
balho,banho
balin,balinha
banhêlu,banheiro
banhu,banho
barulhu,barulho
bastanti,bastante
batá,botar
bátanti,bastante
bb,bebê
belêsinha,belezinha
bêsta,besta
bichinhu,bichinho
bjando,beijando
bôca,boca
bôlsu,bolso
bontando,botando
bonzinhu,bonzinho
botá,botar
botandu,botando
botô,botou
brigada,obrigada
brincá,brincar
buneca,boneca
bunequinha,bonequinha
bunita,bonita
c,com
cabá,acabar
cabei,acabei
cabo,acabou
cabô,acabou
cantinhu,cantinho
carai,caralho
cê,você
céitu,certo
chegá,chegar
chinelinhu,chinelinho
chocolati,chocolate
cm,com
cmg,comigo
co,com
cô,cor
coçá,coçar
coçandu,coçando
cocêla,coceira
cocêra,coceira
côcô,cocô
coelhinhu,coelhinho
comê,comer
começá,começar
complicadu,complicado
comprá,comprar
comu,como
condida,escondida
consada,cansada
cósta,costas
crl,caralho
crlh,caralho
cuelhinho,coelhinho
cuelhinho,coelhinho
cuelhinhu,coelhinho
cuelhinu,coelhinho
cum,com
cumê,comer
cumen,comendo
cumendu,comendo
cumeu,comeu
cumi,comi
cumigu,comigo
cunversá,conversar
cvs,conversando
d,de
dá,dar
dêdo,dedo
dêdu,dedo
denti,dente
dentru,dentro
dentu,dentro
derrubá,derrubar
desabutuada,desabotoada
desenbrulhando,desembrulhando
dessi,desse
dêssi,desse
dêxa,deixa
dhr,da hora
di,de
direitu,direito
diretu,direto
disabutuô,desabotoou
discansá,descansar
discansei,descansei
dispistá,despistar
dissi,disse
dissu,disso
dizê,dizer
dms,demais
dnv,de novo
dô,dou
dôci,doce
docinhu,docinho
doq,do que
dps,depois
du,do
dumi,dormi
durin,durinha
durmindu,dormindo
durmiu,dormiu
dzs,diz
eh,é
êli,ele
êlis,eles
ent,então
ep,episódio
êsse,esse
essi,esse
fac,faculdade
fála,fala
falandu,falando
falô,falou
fazê,fazer
fazendu,fazendo
fds,foda-se
fechá,fechar
fechadu,fechado
fechandu,fechando
fessa,fecha
féssa,fecha
finds,fins de semana
finêti,alfinete
flr,falar
fmz,firmeza
fôrça,força
fotineas,fotinhas
ft,foto
fts,fotos
fzr,fazer
gavadô,gravador
gd,grande
genti,gente
gmdt,gosto muito de ti
gnt ,gente
gostu,gosto
góstu,gosto
gravô,gravou
guardá,guardar
guli,engolir
hj,hoje
hje,hoje
hoji,hoje
hosi,hoje
hrs,horas
i,e
ig,instagram
im,em
inda,ainda
inguli,engolir
inquantu,enquanto
insta,instagram
intão,então
iscolinha,escolinha
iscondê,esconder
iscondida,escondida
iscuru,escuro
iscuta,escuta
ispelá,esperar
isperá,esperar
isquentandu,esquentando
issu,isso
istô,estou
istu,isto
jogá,jogar
juntu,junto
krlho,caralho
lab,laboratório
labs,laboratórios
ladu,lado
lemba,lembra
lembendo,lambendo
levá,levar
longi,longe
lósa,loja
mandô,mandou
massuquei,machuquei
mastigá,mastigar
mastigandu,mastigando
mds,meu deus
melá,melar
melô,melou
memo,mesmo
mentiroza,mentirosa
mêsa,mesa
mi,me
microfoni,microfone
mm,mesmo
mó,muito
moçu,moço
môçu,moço
modeu,mordeu
msgs,mensagens
msm,mesmo
msms,mesmos
mt,muito
mto,muito
mts,muitos
muitu,muito
n,não
ñ,não
naqueli,naquele
nd,nada
ne,né
ng,ninguém
ni,em
nn,não
nóis,nós
nomi,nome
novu,novo
ns,não sei
nu,no
num,não
num,não
ó,olha
obg,obrigado
obgd,obrigado
obgdo,obrigado
obri,obrigado
ócu,óculos
óculus,óculos
óla,olha
ólha,olha
olhus,olhos
ondi,onde
onti,ontem
oq,o que
oqq,o que
oquê,o que
ôta,outra
ôtra,outra
ôtru,outro
ôtu,outro
ovin,ovinho
ôvindu,ouvindo
ôvinho,ovinho
ovinhu,ovinho
ôvinhu,ovinho
ovinhus,ovinhos
ovinhus,ovinhos
ovu,ovo
ôvu,ovo
p,para
pa,para
pá,para
pacoti,pacote
pacóti,pacote
pacótin,pacotinho
pacotinhu,pacotinho
papelzinhu,papelzinho
passá,passar
passandu,passando
passiá,passear
passô,passou
pd,pode
pedacinhu,pedacinho
pegá,pegar
péga,pega
pegô,pegou
péli,pele
pequininha,pequenininha
pertu,perto
péta,aperta
pf,por favor
pfto,perfeito
pfv,por favor
pidi,pedir
piquinininha,pequenininha
pô,por
pôco,pouco
póde,pode
podi,pode
pódi,pode
poim,põe
póita,porta
poquê,porque
pôquinhu,pouquinho
póssu,posso
póta,porta
pq,porque
pqe,porque
prá,para
precisandu,precisando
pricisa,precisa
primeiru,primeiro
prontu,pronto
pru,para o
pucê,para você
pulsêra,pulseira
puquê,porque
puqui,porque
puqui,porque
pur,por
purque,porque
purquê,porque
q,que
qd,quando
qlqr,qualquer
qm,quem
qq,qualquer
qro,quero
qs,quase
quêli,que ele
quandu,quando
quantus,quantos
quardá,guardar
quartu,quarto
qué,quer
quê,que
quélu,quero
queru,quero
quéru,quero
qui,que
quie,que
quisessi,quisesse
recadu,recado
resp,responder
rlx,relaxa
sabi,sabe
sábi,sabe
sdds,saudades
sdv,seguir de volta
sê,ser
sentá,sentar
sfd,se foda
si,se
simpáticu,simpático
sinão,senão
smp,sempre
smpr,sempre
socoláti,chocolate
sp,São Paulo
sr,senhor
ss,sim
sujá,sujar
sujêla,sujeira
susô,sujou
t,estou
tá,está
tampá,tampar
táva,estava
tb,também
tbm,também
td,tudo
temp,temporada
tenhu,tenho
têvi,teve
tilá,tirar
tirandu,tirando
tl,timeline
tlg,to ligado
tmj,tamo junto
tml,timeline
tô,estou
tocô,tocou
tôda,toda
todu,todo
todus,todos
tôma,toma
tóssi,tosse
tp,tipo
tranquilamenti,tranquilamente
trazê,trazer
trossi,trouxe
tudu,tudo
u,o
us,os
utt,ultimate
vadô,gravador
vamu,vamos
vamus,vamos
vc,você
vcs,vocês
vdd,verdade
vê-di,verde
vêdi,verde
velonica,veronica
velônica,verônica
vemêlhu,vermelho
vendu,vendo
verdi,verde
vlw,valeu
vlws,valeu
vms,vamos
voi,vou
vontadi,vontade
vu,vou
vzs,vezes
wpp,whatsapp
yt,youtube
zá,já
zogô,jogou